2PP,LC+RC,Crumpled,2PP,LC+RC,Flat,GoToCenter-B
2PP,LC+RC,Flat,2PP+Pie,FL+FR,Flat,PlaceFlatOnTable-A
2PP+Pie,FL+FR,Flat,Pie,I,Flat,ReleaseFlatOnTable
2PP+Pie,FL+FR,Flat,Pie,I,sFolded,FoldOnTable-A
2PP+Pie,FL+FR,sFolded,Pie,I,Folded,FoldOnTable-B
2PP+Pie,FR+R2,sFolded,2PP+Pie,FR+RC,sFolded,TraceEdge-A
2PP+Pie,FR+RC,sFolded,Pie,I,sFolded,FoldOnTable-C
2PP+Pie,LC+RC,Crumpled,2PP,LC+RC,Flat,GoToCenter-A
2PP+Pie,LC+RC,Flat,Pie,I,sFolded,FoldOnTable-D
2PP+Pie,LC+RC,sFolded,Pie,I,Folded,FoldOnTable-E
2PP+Pie,RE+RC,Crumpled,2PP+Pie,LC+RC,Crumpled,TraceEdge-B
L+PP+Pie,RE+RC,Crumpled,2PP+Pie,LC+RC,Crumpled,TraceEdge-C
Pie,I,Crumpled,PP+Pie,RC,Crumpled,Grasp-A
Pie,I,Flat,2PP+Pie,LC+RC,Flat,Grasp-B
Pie,I,sFolded,2PP+Pie,FL+FR,sFolded,Grasp-C
Pie,I,sFolded,2PP+Pie,FR+RC,sFolded,Grasp-D
Pie,I,sFolded,2PP+Pie,LC+RC,sFolded,Grasp-E
Pie,I,sFolded,PP+Pie,RC,sFolded,Grasp-F
PP,RC,Crumpled,2PP,LC+RC,Crumpled,HoldToRegrasp
PP+Pie,RC,Crumpled,2PP+Pie,RE+RC,Crumpled,Lift-A
PP+Pie,RC,Crumpled,L+PP+Pie,RE+RC,Crumpled,Lift-C
PP+Pie,RC,Crumpled,PP,RC,Crumpled,RemoveTableContact
PP+Pie,RC,sFolded,2PP+Pie,FR+R2,sFolded,Lift-D
PP+Pie,RC,sFolded,2PP+Pie,FR+RC,sFolded,Lift-E
PP+Pie,RC,sFolded,Pie,I,sFolded,FoldOnTable-F
PP+Pie,RC,Crumpled,2PP+Pie,LC+RC,Crumpled,Lift-B
2PP,LC+RC,Flat,2PP+Pie,LC+RC,Flat,PlaceFlatOnTable-B
